TIMESTAMP,Radiation,Energy,HumRad,CloudRad,CLOUDCOVER,HUMIDITY,VISIBILITY,TEMPERATURE,WINDSPEED,ISDAY,SOLARANGLE,HOUR
1546300800,0,0,0,0,16,63,10,8,18,FALSE,0,0
1546304400,0,0,0,0,20,63,10,7,17,FALSE,0,1
1546308000,0,0,0,0,24,64,10,7,17,FALSE,0,2
1546311600,0,0,0,0,28,65,10,7,16,FALSE,0,3
1546315200,0,0,0,0,28,65,10,7,15,FALSE,0,4
1546318800,0,0,0,0,27,66,10,7,15,FALSE,0,5
1546322400,0,0,0,0,27,66,10,7,14,FALSE,0,6
1546326000,0.026856977,4.338964999,0.111695026,1.879988365,30,64,10,8,14,FALSE,0.026666667,7
1546329600,0.370893135,48.66850251,14.09393914,24.84984007,33,62,10,8,14,TRUE,0.203333333,8
1546333200,0.641043738,145.1446425,25.64174953,41.02679925,36,60,10,9,13,TRUE,0.403333333,9
1546336800,0.763059756,264.3688575,32.04850975,51.88806341,32,58,10,9,14,TRUE,0.603333333,10
1546340400,0.812988559,270.68795,35.77149658,57.72218766,29,56,10,10,15,TRUE,0.803333333,11
1546344000,0.815704434,246.100395,36.70669951,61.17783251,25,55,10,10,15,TRUE,0.996666667,12
1546347600,0.772418443,183.324095,34.75882995,62.56589391,19,55,10,10,15,TRUE,0.796666667,13
1546351200,0.66207896,101.1489325,29.79355319,56.93879055,14,55,10,10,15,TRUE,0.596666667,14
1546354800,0.417147038,29.654715,19.18876374,38.37752747,8,54,10,10,15,TRUE,0.396666667,15
1546358400,0.050187207,5.5717475,2.208237104,4.717597449,6,56,10,10,13,TRUE,0.196666667,16
1546362000,0,0.00098,0,0,4,57,10,10,12,FALSE,0.023333333,17
1546365600,0,0,0,0,3,58,10,10,10,FALSE,0,18
1546369200,0,0,0,0,4,60,10,9,9,FALSE,0,19
1546372800,0,0,0,0,6,62,10,9,7,FALSE,0,20
1546376400,0,0,0,0,8,63,10,8,6,FALSE,0,21
1546380000,0,0,0,0,8,65,10,8,7,FALSE,0,22
1546383600,0,0,0,0,9,67,10,8,8,FALSE,0,23
1546387200,0,0,0,0,10,68,10,8,9,FALSE,0,0
1546390800,0,0,0,0,10,69,10,8,9,FALSE,0,1
1546394400,0,0,0,0,11,70,10,8,10,FALSE,0,2
1546398000,0,0,0,0,12,71,10,8,11,FALSE,0,3
1546401600,0,0,0,0,13,71,10,8,11,FALSE,0,4
1546405200,0,0,0,0,15,71,10,8,12,FALSE,0,5
1546408800,0,0,0,0,16,71,10,8,12,FALSE,0,6
1546412400,0.027776482,2.961654999,0.83329445,1.999906679,28,70,10,8,13,FALSE,0.026666667,7
1546416000,0.373547854,24.79443,11.20643563,22.78641912,39,70,10,9,15,TRUE,0.203064799,8
1546419600,0.642730193,39.08125,19.92463599,32.13650965,50,69,10,9,17,TRUE,0.402714536,9
1546423200,0.76430028,50.114235,22.92900841,29.04341065,62,70,10,9,17,TRUE,0.602364273,10
1546426800,0.8140608,129.4083875,23.6077632,21.1655808,74,71,10,10,17,TRUE,0.802014011,11
1546430400,0.816767802,76.41692749,22.05273065,11.43474922,86,73,10,10,17,TRUE,0.998336252,12
1546434000,0.773626703,49.1951575,19.34066758,7.736267033,90,75,8,10,16,TRUE,0.798686515,13
1546437600,0.663685742,23.856765,15.26477207,3.318428711,95,77,6,10,14,TRUE,0.599036778,14
1546441200,0.419667057,30.139695,8.813008201,0.419667057,99,79,5,10,12,TRUE,0.39938704,15
1546444800,0.05149277,5.591095,0.978362627,0.308956619,94,81,5,10,10,TRUE,0.199737303,16
1546448400,0,0,0,0,89,84,6,9,9,FALSE,0.025,17
1546452000,0,0,0,0,84,86,7,9,7,FALSE,0,18
1546455600,0,0,0,0,82,86,7,9,6,FALSE,0,19
1546459200,0,0,0,0,80,86,8,9,5,FALSE,0,20
1546462800,0,0,0,0,78,85,8,9,4,FALSE,0,21
1546466400,0,0,0,0,81,79,8,9,7,FALSE,0,22
1546470000,0,0,0,0,83,73,9,8,9,FALSE,0,23
1546473600,0,0,0,0,86,66,9,8,11,FALSE,0,0
1546477200,0,0,0,0,69,65,9,7,12,FALSE,0,1
1546480800,0,0,0,0,52,63,9,7,14,FALSE,0,2
1546484400,0,0,0,0,35,61,10,6,15,FALSE,0,3
1546488000,0,0,0,0,24,62,10,6,17,FALSE,0,4
1546491600,0,0,0,0,13,62,10,6,19,FALSE,0,5
1546495200,0,0.00035,0,0,3,62,10,6,21,FALSE,0,6
1546498800,0.02879202,7.605752499,1.122888764,2.764033882,4,61,10,6,23,FALSE,0.026666667,7
1546502400,0.376414115,63.9738425,15.43297873,35.75934097,5,59,10,6,25,TRUE,0.202797203,8
1546506000,0.644548523,112.032475,27.71558649,60.58756116,6,57,10,6,27,TRUE,0.402097902,9
1546509600,0.765638102,240.544025,33.68807649,64.31360057,16,56,10,6,29,TRUE,0.601398601,10
1546513200,0.815217289,268.1792125,36.68477801,60.32607939,26,55,10,6,30,TRUE,0.800699301,11
