Time,Radiation,HumRad,CloudRad,CLOUDCOVER,HUMIDITY,VISIBILITY,TEMPERATURE,WINDSPEED,ISDAY,SOLARANGLE,HOUR,Energy
1,0.397834716,7.55885961,0,100,81,9,10,32,TRUE,0.201211073,8,21.0327725
2,0.658063223,12.50320123,0,100,81,10,10,35,TRUE,0.398442907,9,72.11944
3,0.775591294,17.06300846,1.551182588,98,78,10,10,37,TRUE,0.59567474,10,86.89243999
4,0.823826282,19.77183078,2.471478847,97,76,10,10,39,TRUE,0.792906574,11,46.5041975
5,0.826452816,21.48777323,4.132264082,95,74,10,11,41,TRUE,0.990138408,12,114.464795
6,0.784625296,19.61563241,3.138501186,96,75,10,10,41,TRUE,0.812629758,13,66.17691
7,0.678296157,16.27910776,2.03488847,97,76,10,10,41,TRUE,0.615397924,14,53.9537275
8,0.442654321,10.18104938,1.327962963,97,77,10,10,41,TRUE,0.41816609,15,22.135185
9,0.402066263,9.247524055,3.618596369,91,77,10,8,36,TRUE,0.200949914,8,19.4793725
10,0.66071918,15.19654115,2.642876722,96,77,10,8,35,TRUE,0.397841105,9,52.74279749
11,0.777549447,18.66118673,7.775494473,90,76,10,8,34,TRUE,0.594732297,10,99.57874249
12,0.825521008,20.63802519,12.38281512,85,75,10,8,32,TRUE,0.791623489,11,55.84400814
13,0.828133641,22.35960832,16.56267283,80,73,10,8,31,TRUE,0.98851468,12,47.95075937
14,0.786532968,21.23639012,21.23639012,73,73,10,8,29,TRUE,0.814594128,13,37.88822812
15,0.680827295,19.06316427,23.82895534,65,72,10,8,27,TRUE,0.617702936,14,46.90611876
16,0.446648204,12.50614971,18.75922456,58,72,10,8,25,TRUE,0.420811744,15,20.8908125
17,0.066903153,1.806385137,2.943738741,56,73,10,7,22,TRUE,0.223920553,16,1.97055625
18,0.040922949,1.186765511,2.496299868,39,71,10,6,12,FALSE,0.026666667,7,8.308749999
19,0.406473091,13.0071389,26.4207509,35,68,10,7,11,TRUE,0.200689655,8,42.7455
20,0.663480896,23.22183136,45.11670092,32,65,10,7,10,TRUE,0.397241379,9,101.1192219
21,0.779586336,29.62428076,53.79145717,31,62,10,8,9,TRUE,0.593793103,10,182.8617312
22,0.827284237,33.91865371,57.08261234,31,59,10,9,8,TRUE,0.790344828,11,146.9056563
23,0.829882428,36.51482684,58.09176997,30,56,10,9,7,TRUE,0.986896552,12,53.46657187
24,0.788517417,34.69476636,52.83066696,33,56,10,9,6,TRUE,0.816551724,13,69.69023125
25,0.683459341,30.07221102,43.05793851,37,56,10,9,5,TRUE,0.62,14,61.06227188
26,0.450804344,19.38458678,27.04826062,40,57,10,9,5,TRUE,0.423448276,15,46.63629812
27,0.069518672,2.850265548,3.614970939,48,59,10,9,5,TRUE,0.226896552,16,8.0092125
28,0.043018533,1.505648641,1.075463315,75,65,10,6,4,FALSE,0.028333333,7,6.151044999
29,0.411049503,15.61988113,14.38673262,65,62,10,6,7,TRUE,0.203436426,8,80.43891501
30,0.66634455,27.98647108,29.98550473,55,58,10,7,9,TRUE,0.399312715,9,153.89373
31,0.781699242,35.17646589,45.33855604,42,55,10,7,12,TRUE,0.595189003,10,274.14768
32,0.829113661,38.96834205,58.8670699,29,53,10,8,16,TRUE,0.791065292,11,292.3539825
33,0.831696889,41.58484447,69.86253871,16,50,10,8,19,TRUE,0.986941581,12,259.82401
34,0.790576007,38.73822434,70.36126462,11,51,10,8,19,TRUE,0.817182131,13,201.9530675
35,0.686188672,32.93705625,64.50173516,6,52,10,8,19,TRUE,0.621305842,14,127.4540475
36,0.455117134,21.84562245,45.05659631,1,52,10,8,19,TRUE,0.425429553,15,39.322975
37,0.045262441,1.26734835,1.810497643,60,72,10,7,13,FALSE,0.028333333,7,4.551767499
38,0.415789582,12.88947705,17.46316245,58,69,10,8,15,TRUE,0.203173242,8,0
39,0.669306234,22.08710573,29.44947431,56,67,10,8,17,TRUE,0.398713551,9,47.073485
40,0.783885385,27.43598847,32.13930077,59,65,10,9,17,TRUE,0.594253859,10,30.03382749
41,0.831006915,30.74725585,32.40926968,61,63,10,9,18,TRUE,0.789794168,11,0
42,0.833574682,32.50941261,30.00868857,64,61,10,10,18,TRUE,0.985334477,12,160.910125
43,0.792706036,28.5374173,22.98847505,71,64,10,10,17,TRUE,0.819125214,13,25.141045
44,0.689011582,23.42639378,14.46924321,79,66,10,10,16,TRUE,0.623584906,14,0
45,0.45958079,14.70658527,5.974550266,87,68,10,10,15,TRUE,0.428044597,15,0
46,0.075265556,2.107435577,1.956904464,74,72,10,9,13,TRUE,0.232504288,16,0
